2019-02-11 15:43:53,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------43
2019-02-11 18:04:01,172 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1136
2019-02-11 18:04:01,180 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1152
2019-02-11 18:04:01,191 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1140
2019-02-11 18:04:01,200 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1156
2019-02-11 18:04:01,210 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1144
2019-02-11 18:04:01,224 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1160
2019-02-11 18:04:01,237 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1148
2019-02-11 18:04:01,251 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1164
2019-02-11 18:04:01,265 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1152
2019-02-11 18:04:01,279 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1168
2019-02-11 18:04:01,295 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1156
2019-02-11 18:04:01,308 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1172
2019-02-11 18:04:01,318 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1160
2019-02-11 18:04:01,326 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1176
2019-02-11 18:04:01,336 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1164
2019-02-11 18:04:01,346 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1180
2019-02-11 18:04:01,360 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1168
2019-02-11 18:04:01,368 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1184
2019-02-11 18:04:01,378 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1172
2019-02-11 18:04:01,387 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1188
2019-02-11 18:04:01,397 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1176
2019-02-11 18:04:01,410 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1192
2019-02-11 18:04:01,423 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1180
2019-02-11 18:04:01,436 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1196
2019-02-11 18:04:01,449 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1184
2019-02-11 18:04:01,462 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1200
2019-02-11 18:04:01,474 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1188
2019-02-11 18:04:01,486 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1204
2019-02-11 18:04:01,497 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1192
2019-02-11 18:04:01,506 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1208
2019-02-11 18:04:01,519 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1196
2019-02-11 18:04:01,533 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1212
2019-02-11 18:04:01,546 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1200
2019-02-11 18:04:01,556 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1216
2019-02-11 18:04:01,566 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1204
2019-02-11 18:04:01,576 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1220
2019-02-11 18:04:01,585 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1208
2019-02-11 18:04:01,596 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1224
2019-02-11 18:04:01,608 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1212
2019-02-11 18:04:01,620 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1228
2019-02-11 18:04:01,633 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1216
2019-02-11 18:04:01,646 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1232
2019-02-11 18:04:01,658 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1220
2019-02-11 18:04:01,671 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1236
2019-02-11 18:04:01,683 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1224
2019-02-11 18:04:01,696 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1240
2019-02-11 18:04:01,709 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1228
2019-02-11 18:04:01,718 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1244
2019-02-11 18:04:01,728 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1232
2019-02-11 18:04:01,741 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1248
2019-02-11 18:04:01,750 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1236
2019-02-11 18:04:01,761 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1252
2019-02-11 18:04:01,771 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1240
2019-02-11 18:04:01,782 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1256
2019-02-11 18:04:01,793 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1244
2019-02-11 18:04:01,803 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1260
2019-02-11 18:04:01,814 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1248
2019-02-11 18:04:01,827 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1264
2019-02-11 18:04:01,840 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1252
2019-02-11 18:04:01,853 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1268
2019-02-11 18:04:01,866 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1256
2019-02-11 18:04:01,880 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1272
2019-02-11 18:04:01,889 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1260
2019-02-11 18:04:01,900 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1276
2019-02-11 18:04:01,911 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1264
2019-02-11 18:04:01,922 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1280
2019-02-11 18:04:01,933 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1268
2019-02-11 18:04:01,947 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1284
2019-02-11 18:04:01,960 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1272
2019-02-11 18:04:01,972 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1288
2019-02-11 18:04:01,982 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1276
2019-02-11 18:04:01,993 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1292
2019-02-11 18:04:02,005 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1280
2019-02-11 18:04:02,018 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1296
2019-02-11 18:04:02,032 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1284
2019-02-11 18:04:02,045 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1300
2019-02-11 18:04:02,058 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1288
2019-02-11 18:04:02,071 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1304
2019-02-11 18:04:02,084 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1292
2019-02-11 18:04:02,097 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1308
2019-02-11 18:04:02,108 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1296
2019-02-11 18:04:02,123 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1312
2019-02-11 18:04:02,135 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1300
2019-02-11 18:04:02,146 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1316
2019-02-11 18:04:02,158 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1304
2019-02-11 18:04:02,171 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1320
2019-02-11 18:04:02,185 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1308
2019-02-11 18:04:02,196 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1324
2019-02-11 18:04:02,208 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1312
2019-02-11 18:04:02,220 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1328
2019-02-11 18:04:02,230 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1316
2019-02-11 18:04:02,245 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1332
2019-02-11 18:04:02,255 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1320
2019-02-11 18:04:02,266 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1336
2019-02-11 18:04:02,278 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1324
2019-02-11 18:04:02,291 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1340
2019-02-11 18:04:02,306 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1328
2019-02-11 18:04:02,321 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1344
2019-02-11 18:04:02,336 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1332
2019-02-11 18:04:02,348 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1348
2019-02-11 18:04:02,360 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1336
2019-02-11 18:04:02,370 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1352
2019-02-11 18:04:02,385 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1340
2019-02-11 18:04:02,399 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1356
2019-02-11 18:04:02,413 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1344
2019-02-11 18:04:02,425 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1360
2019-02-11 18:04:02,436 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1348
2019-02-11 18:04:02,447 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1364
2019-02-11 18:04:02,462 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1352
2019-02-11 18:04:02,476 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1368
2019-02-11 18:04:02,490 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1356
2019-02-11 18:04:02,504 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1372
2019-02-11 18:04:02,518 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1360
2019-02-11 18:04:02,527 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1376
2019-02-11 18:04:02,539 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1364
2019-02-11 18:04:02,551 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1380
2019-02-11 18:04:02,563 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1368
2019-02-11 18:04:02,576 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1384
2019-02-11 18:04:02,587 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1372
2019-02-11 18:04:02,600 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1388
2019-02-11 18:04:02,610 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1376
2019-02-11 18:04:02,622 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1392
2019-02-11 18:04:02,632 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1380
2019-02-11 18:04:02,646 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1396
2019-02-11 18:04:02,661 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1384
2019-02-11 18:04:02,671 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1400
2019-02-11 18:04:02,686 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1388
2019-02-11 18:04:02,699 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1404
2019-02-11 18:04:02,711 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1392
2019-02-11 18:04:02,722 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1408
2019-02-11 18:04:02,733 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1396
2019-02-11 18:04:02,748 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1412
2019-02-11 18:04:02,762 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1400
2019-02-11 18:04:02,776 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1416
2019-02-11 18:04:02,790 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1404
2019-02-11 18:04:02,804 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1420
2019-02-11 18:04:02,818 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1408
2019-02-11 18:04:02,832 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1424
2019-02-11 18:04:02,847 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1412
2019-02-11 18:04:02,861 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1428
2019-02-11 18:04:02,873 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1416
2019-02-11 18:04:02,887 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1432
2019-02-11 18:04:02,904 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1420
2019-02-11 18:04:02,920 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1436
2019-02-11 18:04:02,935 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1424
2019-02-11 18:04:02,949 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1440
2019-02-11 18:04:02,964 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1428
2019-02-11 18:04:02,980 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1444
2019-02-11 18:04:02,994 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1432
2019-02-11 18:04:03,008 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1448
2019-02-11 18:04:03,024 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1436
2019-02-11 18:04:03,039 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1452
2019-02-11 18:04:03,050 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1440
2019-02-11 18:04:03,065 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1456
2019-02-11 18:04:03,077 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1444
2019-02-11 18:04:03,091 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1460
2019-02-11 18:04:03,106 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1448
2019-02-11 18:04:03,122 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1464
2019-02-11 18:04:03,137 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1452
2019-02-11 18:04:03,152 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1468
2019-02-11 18:04:03,166 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1456
2019-02-11 18:04:03,181 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1472
2019-02-11 18:04:03,196 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1460
2019-02-11 18:04:03,210 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1476
2019-02-11 18:04:03,223 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1464
2019-02-11 18:04:03,238 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1480
2019-02-11 18:04:03,252 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1468
2019-02-11 18:04:03,267 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1484
2019-02-11 18:04:03,283 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1472
2019-02-11 18:04:03,301 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1488
2019-02-11 18:04:03,313 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1476
2019-02-11 18:04:03,326 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1492
2019-02-11 18:04:03,341 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1480
2019-02-11 18:04:03,351 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1496
2019-02-11 18:04:03,365 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1484
2019-02-11 18:04:03,380 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1500
2019-02-11 18:04:03,396 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1488
2019-02-11 18:04:03,412 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1504
2019-02-11 18:04:03,423 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1492
2019-02-11 18:04:03,435 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1508
2019-02-11 18:04:03,448 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1496
2019-02-11 18:04:03,463 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1512
2019-02-11 18:04:03,480 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1500
2019-02-11 18:04:03,496 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1516
2019-02-11 18:04:03,511 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1504
2019-02-11 18:04:03,522 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1520
2019-02-11 18:04:03,534 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1508
2019-02-11 18:04:03,548 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1524
2019-02-11 18:04:03,563 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1512
2019-02-11 18:04:03,582 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1528
2019-02-11 18:04:03,597 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1516
2019-02-11 18:04:03,610 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1532
2019-02-11 18:04:03,624 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1520
2019-02-11 18:04:03,636 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1536
2019-02-11 18:04:03,652 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1524
2019-02-11 18:04:03,670 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1540
2019-02-11 18:04:03,690 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1528
2019-02-11 18:04:03,704 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1544
2019-02-11 18:04:03,715 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1532
2019-02-11 18:04:03,728 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1548
2019-02-11 18:04:03,743 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1536
2019-02-11 18:04:03,756 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1552
2019-02-11 18:04:03,769 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1540
2019-02-11 18:04:03,783 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1556
2019-02-11 18:04:03,797 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1544
2019-02-11 18:04:03,812 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1560
2019-02-11 18:04:03,827 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1548
2019-02-11 18:04:03,846 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1564
2019-02-11 18:04:03,864 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1552
2019-02-11 18:04:03,881 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1568
2019-02-11 18:04:03,898 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1556
2019-02-11 18:04:03,916 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1572
2019-02-11 18:04:03,933 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1560
2019-02-11 18:04:03,952 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1576
2019-02-11 18:04:03,971 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1564
2019-02-11 18:04:03,990 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1580
2019-02-11 18:04:04,006 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1568
2019-02-11 18:04:04,016 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1584
2019-02-11 18:04:04,030 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1572
2019-02-11 18:04:04,043 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1588
2019-02-11 18:04:04,056 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1576
2019-02-11 18:04:04,071 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1592
2019-02-11 18:04:04,084 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1580
2019-02-11 18:04:04,097 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1596
2019-02-11 18:04:04,111 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1584
2019-02-11 18:04:04,128 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1600
2019-02-11 18:04:04,145 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1588
2019-02-11 18:04:04,162 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1604
2019-02-11 18:04:04,176 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1592
2019-02-11 18:04:04,192 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1608
2019-02-11 18:04:04,208 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1596
2019-02-11 18:04:04,225 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1612
2019-02-11 18:04:04,242 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1600
2019-02-11 18:04:04,259 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1616
2019-02-11 18:04:04,275 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1604
2019-02-11 18:04:04,291 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1620
2019-02-11 18:04:04,307 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1608
2019-02-11 18:04:04,324 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1624
2019-02-11 18:04:04,337 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1612
2019-02-11 18:04:04,350 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1628
2019-02-11 18:04:04,365 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1616
2019-02-11 18:04:04,380 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1632
2019-02-11 18:04:04,397 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1620
2019-02-11 18:04:04,413 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1636
2019-02-11 18:04:04,432 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1624
2019-02-11 18:04:04,450 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1640
2019-02-11 18:04:04,469 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1628
2019-02-11 18:04:04,482 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1644
2019-02-11 18:04:04,496 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1632
2019-02-11 18:04:04,511 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1648
2019-02-11 18:04:04,529 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1636
2019-02-11 18:04:04,545 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1652
2019-02-11 18:04:04,563 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1640
2019-02-11 18:04:04,580 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1656
2019-02-11 18:04:04,598 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1644
2019-02-11 18:04:04,615 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1660
2019-02-11 18:04:04,631 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1648
2019-02-11 18:04:04,644 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1664
2019-02-11 18:04:04,660 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1652
2019-02-11 18:04:04,678 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1668
2019-02-11 18:04:04,697 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1656
2019-02-11 18:04:04,714 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1672
2019-02-11 18:04:04,732 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1660
2019-02-11 18:04:04,749 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1676
2019-02-11 18:04:04,766 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1664
2019-02-11 18:04:04,778 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1680
2019-02-11 18:04:04,792 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1668
2019-02-11 18:04:04,806 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1684
2019-02-11 18:04:04,819 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1672
2019-02-11 18:04:04,834 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1688
2019-02-11 18:04:04,849 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1676
2019-02-11 18:04:04,863 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1692
2019-02-11 18:04:04,881 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1680
2019-02-11 18:04:04,899 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1696
2019-02-11 18:04:04,913 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1684
2019-02-11 18:04:04,926 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1700
2019-02-11 18:04:04,943 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1688
2019-02-11 18:04:04,958 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1704
2019-02-11 18:04:04,973 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1692
2019-02-11 18:04:04,987 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1708
2019-02-11 18:04:05,001 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1696
2019-02-11 18:04:05,019 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1712
2019-02-11 18:04:05,038 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1700
2019-02-11 18:04:05,057 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1716
2019-02-11 18:04:05,070 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1704
2019-02-11 18:04:05,087 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1720
2019-02-11 18:04:05,102 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1708
2019-02-11 18:04:05,118 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1724
2019-02-11 18:04:05,137 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1712
2019-02-11 18:04:05,156 This is our input ||||||||||:-------+4 ||||||||||      This is our output:-------1728
